,close_sma_6,close_sma_3
2018-04-03 22:00:00,,
2018-04-03 23:00:00,,
2018-04-04 00:00:00,,81.839
2018-04-04 01:00:00,,81.899
2018-04-04 02:00:00,,82.003
2018-04-04 03:00:00,81.96267,82.08633
2018-04-04 04:00:00,82.00583,82.11267
2018-04-04 05:00:00,82.05183,82.10067
2018-04-04 06:00:00,82.07633,82.06633
2018-04-04 07:00:00,81.992,81.87133
2018-04-04 08:00:00,81.902,81.70333
2018-04-04 09:00:00,81.78183,81.49733
2018-04-04 10:00:00,81.67133,81.47133
2018-04-04 11:00:00,81.59,81.47667
2018-04-04 12:00:00,81.52167,81.546
2018-04-04 13:00:00,81.564,81.65667
2018-04-04 14:00:00,81.65017,81.82367
2018-04-04 15:00:00,81.75583,81.96567
2018-04-04 16:00:00,81.87267,82.08867
2018-04-04 17:00:00,81.95917,82.09467
2018-04-04 18:00:00,82.0635,82.16133
2018-04-04 19:00:00,82.16783,82.247
2018-04-04 20:00:00,82.22533,82.356
2018-04-04 21:00:00,82.27967,82.398
2018-04-04 22:00:00,82.33533,82.42367
2018-04-04 23:00:00,82.39783,82.43967
2018-04-05 00:00:00,82.4325,82.467
2018-04-05 01:00:00,82.4415,82.45933
2018-04-05 02:00:00,82.44683,82.454
2018-04-05 03:00:00,82.44183,82.41667
2018-04-05 04:00:00,82.40367,82.348
2018-04-05 05:00:00,82.36467,82.27533
2018-04-05 06:00:00,82.34933,82.282
2018-04-05 07:00:00,82.32583,82.30367
2018-04-05 08:00:00,82.3025,82.32967
2018-04-05 09:00:00,82.28283,82.28367
2018-04-05 10:00:00,82.28217,82.26067
2018-04-05 11:00:00,82.28983,82.25
2018-04-05 12:00:00,82.27217,82.26067
2018-04-05 13:00:00,82.28767,82.31467
2018-04-05 14:00:00,82.337,82.424
2018-04-05 15:00:00,82.401,82.54133
2018-04-05 16:00:00,82.44467,82.57467
2018-04-05 17:00:00,82.48017,82.53633
2018-04-05 18:00:00,82.52617,82.511
2018-04-05 19:00:00,82.54483,82.515
2018-04-05 20:00:00,82.53417,82.532
2018-04-05 21:00:00,82.52017,82.52933
2018-04-05 22:00:00,82.4605,82.406
2018-04-05 23:00:00,82.40467,82.27733
2018-04-06 00:00:00,82.36067,82.192
2018-04-06 01:00:00,82.33167,82.25733
2018-04-06 02:00:00,82.317,82.35667
2018-04-06 03:00:00,82.28417,82.37633
2018-04-06 04:00:00,82.32733,82.39733
2018-04-06 05:00:00,82.364,82.37133
2018-04-06 06:00:00,82.38033,82.38433
2018-04-06 07:00:00,82.40267,82.408
2018-04-06 08:00:00,82.42183,82.47233
2018-04-06 09:00:00,82.44633,82.50833
2018-04-06 10:00:00,82.4575,82.507
2018-04-06 11:00:00,82.46233,82.45233
2018-04-06 12:00:00,82.47667,82.445
2018-04-06 13:00:00,82.47583,82.44467
2018-04-06 14:00:00,82.43433,82.41633
2018-04-06 15:00:00,82.39267,82.34033
2018-04-06 16:00:00,82.362,82.27933
2018-04-06 17:00:00,82.30033,82.18433
2018-04-06 18:00:00,82.2135,82.08667
2018-04-06 19:00:00,82.14067,82.002
2018-04-06 20:00:00,82.10067,82.017
2018-04-08 21:00:00,82.06267,82.03867
2018-04-08 22:00:00,82.02433,82.04667
2018-04-08 23:00:00,82.04317,82.06933
2018-04-09 00:00:00,82.0885,82.13833
2018-04-09 01:00:00,82.10933,82.172
2018-04-09 02:00:00,82.13733,82.20533
2018-04-09 03:00:00,82.19233,82.24633
2018-04-09 04:00:00,82.235,82.298
2018-04-09 05:00:00,82.259,82.31267
2018-04-09 06:00:00,82.2855,82.32467
2018-04-09 07:00:00,82.28533,82.27267
2018-04-09 08:00:00,82.264,82.21533
2018-04-09 09:00:00,82.219,82.11333
2018-04-09 10:00:00,82.16733,82.062
2018-04-09 11:00:00,82.12733,82.03933
2018-04-09 12:00:00,82.06933,82.02533
2018-04-09 13:00:00,82.07133,82.08067
2018-04-09 14:00:00,82.11033,82.18133
2018-04-09 15:00:00,82.18483,82.34433
2018-04-09 16:00:00,82.25017,82.41967
2018-04-09 17:00:00,82.30583,82.43033
2018-04-09 18:00:00,82.3445,82.34467
2018-04-09 19:00:00,82.32917,82.23867
2018-04-09 20:00:00,82.30817,82.186
2018-04-09 21:00:00,82.259,82.17333
2018-04-09 22:00:00,82.21567,82.19267
2018-04-09 23:00:00,82.18717,82.18833
2018-04-10 00:00:00,82.1595,82.14567
2018-04-10 01:00:00,82.22717,82.26167
2018-04-10 02:00:00,82.34333,82.49833
2018-04-10 03:00:00,82.43733,82.729
2018-04-10 04:00:00,82.55433,82.847
2018-04-10 05:00:00,82.66133,82.82433
2018-04-10 06:00:00,82.79767,82.86633
2018-04-10 07:00:00,82.79933,82.75167
2018-04-10 08:00:00,82.7635,82.70267
2018-04-10 09:00:00,82.74083,82.61533
2018-04-10 10:00:00,82.72617,82.70067
2018-04-10 11:00:00,82.72533,82.748
2018-04-10 12:00:00,82.70933,82.80333
2018-04-10 13:00:00,82.77033,82.84
2018-04-10 14:00:00,82.83583,82.92367
2018-04-10 15:00:00,82.94083,83.07833
2018-04-10 16:00:00,83.00683,83.17367
2018-04-10 17:00:00,83.0875,83.25133
2018-04-10 18:00:00,83.1565,83.23467
2018-04-10 19:00:00,83.21083,83.248
2018-04-10 20:00:00,83.23167,83.212
2018-04-10 21:00:00,83.22233,83.21
2018-04-10 22:00:00,83.23967,83.23133
2018-04-10 23:00:00,83.21567,83.21933
2018-04-11 00:00:00,83.20117,83.19233
2018-04-11 01:00:00,83.17933,83.12733
2018-04-11 02:00:00,83.14933,83.07933
2018-04-11 03:00:00,83.11917,83.046
2018-04-11 04:00:00,83.06683,83.00633
2018-04-11 05:00:00,83.03183,82.98433
2018-04-11 06:00:00,82.99383,82.94167
2018-04-11 07:00:00,82.9665,82.92667
2018-04-11 08:00:00,82.93983,82.89533
2018-04-11 09:00:00,82.92233,82.903
2018-04-11 10:00:00,82.906,82.88533
2018-04-11 11:00:00,82.87767,82.86
2018-04-11 12:00:00,82.8545,82.806
2018-04-11 13:00:00,82.85283,82.82033
2018-04-11 14:00:00,82.86233,82.86467
2018-04-11 15:00:00,82.85667,82.90733
2018-04-11 16:00:00,82.87333,82.92633
2018-04-11 17:00:00,82.892,82.91933
2018-04-11 18:00:00,82.92167,82.936
2018-04-11 19:00:00,82.91983,82.91333
2018-04-11 20:00:00,82.90483,82.89033
2018-04-11 21:00:00,82.89517,82.85433
2018-04-11 22:00:00,82.88417,82.855
2018-04-11 23:00:00,82.88717,82.884
2018-04-12 00:00:00,82.8965,82.93867
2018-04-12 01:00:00,82.90117,82.94733
2018-04-12 02:00:00,82.90333,82.92267
2018-04-12 03:00:00,82.90483,82.871
2018-04-12 04:00:00,82.896,82.84467
2018-04-12 05:00:00,82.88717,82.85167
2018-04-12 06:00:00,82.8555,82.84
2018-04-12 07:00:00,82.8515,82.85833
2018-04-12 08:00:00,82.82917,82.80667
2018-04-12 09:00:00,82.826,82.812
2018-04-12 10:00:00,82.8705,82.88267
2018-04-12 11:00:00,82.90867,83.01067
2018-04-12 12:00:00,82.9535,83.095
2018-04-12 13:00:00,83.00283,83.123
2018-04-12 14:00:00,83.0875,83.16433
2018-04-12 15:00:00,83.154,83.213
2018-04-12 16:00:00,83.1795,83.236
2018-04-12 17:00:00,83.18417,83.204
2018-04-12 18:00:00,83.19483,83.17667
2018-04-12 19:00:00,83.18883,83.14167
2018-04-12 20:00:00,83.193,83.182
2018-04-12 21:00:00,83.19683,83.217
2018-04-12 22:00:00,83.18617,83.23067
2018-04-12 23:00:00,83.20017,83.21833
2018-04-13 00:00:00,83.22767,83.23833
2018-04-13 01:00:00,83.269,83.30733
2018-04-13 02:00:00,83.30433,83.39033
2018-04-13 03:00:00,83.3355,83.43267
2018-04-13 04:00:00,83.38033,83.45333
2018-04-13 05:00:00,83.44233,83.49433
2018-04-13 06:00:00,83.528,83.62333
2018-04-13 07:00:00,83.62233,83.79133
2018-04-13 08:00:00,83.69283,83.89133
2018-04-13 09:00:00,83.77267,83.922
2018-04-13 10:00:00,83.866,83.94067
2018-04-13 11:00:00,83.93,83.96867
2018-04-13 12:00:00,83.93833,83.95467
2018-04-13 13:00:00,83.91,83.87933
2018-04-13 14:00:00,83.85983,83.751
2018-04-13 15:00:00,83.79317,83.63167
2018-04-13 16:00:00,83.69333,83.50733
2018-04-13 17:00:00,83.61683,83.48267
2018-04-13 18:00:00,83.53217,83.43267
2018-04-13 19:00:00,83.46883,83.43033
2018-04-13 20:00:00,83.43083,83.379
2018-04-15 21:00:00,83.42467,83.41667
2018-04-15 22:00:00,83.46283,83.49533
2018-04-15 23:00:00,83.47433,83.56967
2018-04-16 00:00:00,83.50783,83.599
2018-04-16 01:00:00,83.51633,83.53733
2018-04-16 02:00:00,83.51317,83.45667
2018-04-16 03:00:00,83.497,83.395
2018-04-16 04:00:00,83.44933,83.36133
2018-04-16 05:00:00,83.399,83.34133
2018-04-16 06:00:00,83.32683,83.25867
2018-04-16 07:00:00,83.309,83.25667
2018-04-16 08:00:00,83.307,83.27267
2018-04-16 09:00:00,83.2975,83.33633
2018-04-16 10:00:00,83.29183,83.327
2018-04-16 11:00:00,83.30967,83.34667
2018-04-16 12:00:00,83.34467,83.353
