,net_profit,win_%,loss_%,win_max,loss_max,win_mean,loss_mean,average_holding_time_per_trade,max_cons_loss,mean_cons_loss,trading_exp
close_sma_12_close_sma_18,216.27,44.00,56.00,73.13,-40.79,9.90,-7.01,21:35:31,12,2,0.43
close_sma_12_close_sma_20,148.57,42.00,57.80,93.38,-43.29,10.35,-7.00,0:17:02,19,2,0.30
close_sma_12_close_sma_24,148.24,39.60,60.20,93.86,-30.87,11.99,-7.39,6:54:57,19,3,0.30
close_sma_12_close_sma_25,10.34,38.00,62.00,91.86,-34.01,12.26,-7.48,8:17:38,17,3,0.02
close_sma_12_close_sma_28,-191.99,37.00,63.00,88.59,-35.20,12.01,-7.66,11:07:40,17,3,-0.38
close_sma_12_close_sma_30,-139.62,37.20,62.80,123.90,-50.51,12.62,-7.92,13:39:14,15,3,-0.28
close_sma_12_close_sma_32,-132.69,35.40,64.40,121.25,-43.85,14.20,-8.22,16:31:48,15,3,-0.27
close_sma_12_close_sma_35,-281.26,35.80,64.20,118.65,-66.38,14.33,-8.87,19:42:50,14,3,-0.56
close_sma_12_close_sma_36,-227.90,34.60,65.40,128.92,-73.46,15.35,-8.82,20:51:57,13,3,-0.46
close_sma_12_close_sma_40,-164.42,35.60,64.40,121.90,-75.69,15.09,-8.85,1:24:43,11,3,-0.33
close_sma_12_close_sma_45,-148.05,34.60,65.40,119.20,-49.68,15.39,-8.60,7:13:40,12,3,-0.30
close_sma_12_close_sma_48,-280.69,34.60,65.40,115.68,-58.69,14.22,-8.38,8:21:07,11,3,-0.56
close_sma_12_close_sma_50,-311.59,33.40,66.60,114.30,-60.05,14.74,-8.33,9:05:45,12,3,-0.62
close_sma_12_close_sma_56,-338.89,34.03,65.97,112.51,-65.06,14.63,-8.62,12:54:29,10,3,-0.71
close_sma_12_close_sma_64,-270.10,34.08,65.92,113.32,-69.07,15.07,-8.71,17:57:26,12,3,-0.61
close_sma_12_close_sma_70,-203.04,33.58,66.42,113.39,-57.21,17.25,-9.47,0:12:30,14,3,-0.50
close_sma_12_close_sma_72,-239.97,34.80,65.20,112.90,-56.07,15.83,-9.35,23:55:08,14,3,-0.59
close_sma_12_close_sma_80,-279.23,32.01,67.46,97.02,-51.87,16.70,-9.02,6:19:50,12,3,-0.74
close_sma_12_close_sma_90,-289.51,32.01,67.99,100.30,-63.57,17.96,-9.66,11:38:24,13,3,-0.82
close_sma_12_close_sma_96,-236.64,30.40,69.00,102.71,-64.12,19.95,-9.83,17:27:10,10,3,-0.72
close_sma_12_close_sma_100,-213.02,30.25,69.75,102.94,-63.43,20.51,-9.87,21:34:23,10,3,-0.68
close_sma_14_close_sma_15,-58.65,43.60,56.40,45.21,-14.47,3.38,-2.82,6:43:48,6,2,-0.12
close_sma_14_close_sma_16,226.98,46.80,52.20,43.58,-27.78,5.49,-4.05,11:30:07,9,2,0.46
close_sma_14_close_sma_18,277.05,46.20,53.60,70.70,-39.77,8.88,-6.62,18:20:31,9,2,0.55
close_sma_14_close_sma_20,200.18,44.60,55.40,87.72,-48.50,9.46,-6.90,22:06:57,8,2,0.40
close_sma_14_close_sma_24,74.95,41.20,58.80,84.69,-42.15,10.85,-7.35,5:26:38,9,2,0.15
close_sma_14_close_sma_25,-4.85,40.20,59.80,81.86,-39.72,10.72,-7.22,7:20:09,7,2,-0.01
close_sma_14_close_sma_28,-140.03,37.60,62.40,87.37,-44.63,12.44,-7.95,11:28:55,15,3,-0.28
close_sma_14_close_sma_30,-85.25,38.00,62.00,125.42,-43.79,13.19,-8.36,14:36:50,12,3,-0.17
close_sma_14_close_sma_32,-238.73,37.80,62.20,113.30,-71.45,13.14,-8.75,16:55:19,15,3,-0.48
close_sma_14_close_sma_35,-218.62,37.60,62.20,113.94,-77.76,14.71,-9.60,20:49:19,13,3,-0.44
close_sma_14_close_sma_36,-205.17,38.40,61.40,113.15,-75.59,13.88,-9.35,21:24:00,10,3,-0.41
close_sma_14_close_sma_40,-157.69,34.20,65.80,110.85,-55.03,15.25,-8.40,2:03:28,12,3,-0.31
close_sma_14_close_sma_45,-252.28,34.40,65.40,104.97,-56.74,14.19,-8.24,8:01:19,11,3,-0.51
close_sma_14_close_sma_48,-269.72,34.40,65.60,105.12,-54.94,14.45,-8.40,9:02:45,10,3,-0.54
close_sma_14_close_sma_50,-293.20,34.20,65.60,105.94,-57.89,14.55,-8.48,10:43:40,10,3,-0.59
close_sma_14_close_sma_56,-210.49,35.40,64.38,119.98,-65.21,16.04,-9.54,17:13:56,11,3,-0.46
close_sma_14_close_sma_64,-281.33,34.20,65.80,105.77,-66.54,15.41,-9.03,22:05:42,8,3,-0.67
close_sma_14_close_sma_70,-287.20,33.75,66.25,108.20,-63.82,15.90,-9.18,1:51:54,12,3,-0.72
close_sma_14_close_sma_72,-303.38,34.29,65.18,94.57,-63.01,15.63,-9.44,5:12:43,10,3,-0.79
close_sma_14_close_sma_80,-245.89,31.96,67.77,102.15,-51.69,17.64,-9.32,9:17:31,11,3,-0.68
close_sma_14_close_sma_90,-320.77,30.21,69.79,100.96,-52.46,19.39,-9.78,17:34:59,11,3,-0.97
close_sma_14_close_sma_96,-240.12,29.51,70.16,95.03,-51.48,20.83,-9.88,0:36:59,10,3,-0.78
close_sma_14_close_sma_100,-227.01,30.03,69.97,93.23,-55.68,20.76,-10.02,4:38:29,11,3,-0.78
close_sma_15_close_sma_16,-133.41,43.80,56.00,40.16,-24.11,3.32,-3.07,7:07:04,10,2,-0.27
close_sma_15_close_sma_18,189.22,46.20,53.60,47.80,-43.26,7.52,-5.78,15:06:28,11,2,0.38
close_sma_15_close_sma_20,230.60,45.40,54.40,77.12,-42.77,9.12,-6.76,20:08:24,9,2,0.46
close_sma_15_close_sma_24,45.69,39.60,60.40,78.71,-39.27,10.92,-7.01,5:39:00,12,2,0.09
close_sma_15_close_sma_25,-45.47,37.40,62.60,72.70,-40.99,11.53,-7.04,6:50:16,11,3,-0.09
close_sma_15_close_sma_28,-105.81,36.40,63.60,78.68,-42.19,12.93,-7.74,11:20:38,12,3,-0.22
close_sma_15_close_sma_30,-195.61,38.00,62.00,123.97,-45.17,12.20,-8.11,14:17:31,11,3,-0.39
close_sma_15_close_sma_32,-274.60,37.40,62.60,123.22,-67.30,12.42,-8.30,16:53:16,15,3,-0.55
close_sma_15_close_sma_35,-204.55,36.80,63.00,117.44,-77.97,14.65,-9.21,20:48:14,12,3,-0.41
close_sma_15_close_sma_36,-165.96,36.00,63.60,116.10,-53.53,14.87,-8.94,21:23:45,13,3,-0.33
close_sma_15_close_sma_40,-292.70,35.40,64.60,100.44,-55.72,13.17,-8.12,1:16:04,12,3,-0.58
close_sma_15_close_sma_45,-286.23,34.60,65.20,101.47,-52.63,13.72,-8.16,7:54:21,12,3,-0.57
close_sma_15_close_sma_48,-358.29,33.20,66.60,100.09,-54.10,13.95,-8.03,9:07:33,12,3,-0.72
close_sma_15_close_sma_50,-384.09,35.63,64.17,102.15,-55.92,12.76,-8.29,11:44:05,10,3,-0.77
close_sma_15_close_sma_56,-228.67,35.09,64.91,107.00,-59.88,14.90,-8.83,16:41:03,10,3,-0.50
close_sma_15_close_sma_64,-261.49,35.27,64.49,101.84,-63.25,14.97,-9.16,23:31:53,8,3,-0.63
close_sma_15_close_sma_70,-293.54,34.28,65.72,109.45,-63.37,16.32,-9.66,4:03:33,12,3,-0.75
close_sma_15_close_sma_72,-338.62,34.57,65.43,95.75,-62.21,15.72,-9.68,6:22:58,9,3,-0.90
close_sma_15_close_sma_80,-286.01,31.77,67.96,101.97,-49.33,17.54,-9.36,9:25:01,11,3,-0.79
close_sma_15_close_sma_90,-293.27,29.32,70.68,97.45,-52.14,20.04,-9.59,19:23:42,12,3,-0.90
close_sma_15_close_sma_96,-186.34,28.05,71.62,100.23,-55.01,23.50,-10.06,1:31:52,11,3,-0.61
close_sma_15_close_sma_100,-208.23,29.76,70.24,93.41,-55.36,21.68,-10.21,6:20:08,10,3,-0.72
close_sma_16_close_sma_18,23.50,44.20,55.60,46.74,-35.30,6.10,-4.76,12:07:12,6,2,0.05
close_sma_16_close_sma_20,222.23,45.40,54.40,71.51,-43.82,8.41,-6.20,18:56:45,7,2,0.45
close_sma_16_close_sma_24,7.95,42.20,57.80,76.46,-40.18,10.25,-7.46,4:54:43,9,2,0.01
close_sma_16_close_sma_25,21.24,40.40,59.40,74.94,-41.94,11.44,-7.71,6:29:24,7,3,0.04
close_sma_16_close_sma_28,-126.00,36.40,63.60,132.74,-46.45,12.98,-7.83,11:13:33,15,3,-0.26
close_sma_16_close_sma_30,-172.85,37.00,62.80,136.40,-47.56,12.81,-8.10,13:33:21,14,3,-0.35
close_sma_16_close_sma_32,-180.54,38.80,61.20,127.72,-67.44,12.92,-8.78,16:47:45,16,3,-0.36
close_sma_16_close_sma_35,-200.31,36.40,63.40,110.30,-63.92,14.63,-9.03,20:46:33,14,3,-0.40
close_sma_16_close_sma_36,-257.47,35.40,64.40,108.84,-61.80,14.07,-8.53,22:26:24,12,3,-0.51
close_sma_16_close_sma_40,-301.38,34.80,65.20,105.80,-56.00,13.50,-8.13,2:14:45,13,3,-0.60
close_sma_16_close_sma_45,-372.03,35.20,64.80,99.00,-50.53,12.58,-7.98,8:19:26,12,3,-0.74
close_sma_16_close_sma_48,-327.96,34.80,65.20,103.57,-54.83,13.73,-8.33,10:33:36,11,3,-0.65
close_sma_16_close_sma_50,-395.78,36.18,63.82,97.79,-54.19,12.29,-8.23,12:11:05,10,3,-0.81
close_sma_16_close_sma_56,-253.87,34.68,65.32,109.79,-63.39,15.53,-9.12,18:39:03,11,3,-0.57
close_sma_16_close_sma_64,-288.89,34.41,65.59,107.15,-65.81,15.93,-9.46,2:09:25,8,3,-0.72
close_sma_16_close_sma_70,-317.54,34.64,65.36,95.27,-61.63,15.43,-9.44,5:26:05,9,3,-0.83
close_sma_16_close_sma_72,-350.91,32.98,67.02,92.79,-60.54,15.75,-9.15,7:29:16,13,3,-0.94
close_sma_16_close_sma_80,-339.34,31.92,68.08,100.68,-64.28,17.25,-9.50,11:36:46,10,3,-0.96
close_sma_16_close_sma_90,-285.89,28.48,71.52,98.06,-43.27,21.70,-9.91,21:48:02,11,3,-0.91
close_sma_16_close_sma_96,-236.42,28.38,71.28,98.30,-55.56,23.25,-10.38,4:06:17,11,3,-0.80
close_sma_16_close_sma_100,-275.43,29.66,70.34,90.29,-78.57,21.29,-10.33,5:46:20,18,3,-0.95
close_sma_18_close_sma_20,-4.08,44.80,54.80,44.28,-43.23,6.19,-5.08,12:23:45,12,2,-0.01
close_sma_18_close_sma_24,107.44,44.00,55.80,69.78,-51.12,8.98,-6.70,1:43:26,13,2,0.21
close_sma_18_close_sma_25,-96.42,41.80,58.00,63.90,-64.50,9.36,-7.08,3:46:33,12,2,-0.19
close_sma_18_close_sma_28,-182.57,37.20,62.40,134.04,-71.20,11.39,-7.38,8:35:16,12,3,-0.37
close_sma_18_close_sma_30,-242.44,37.40,62.40,122.81,-65.01,11.16,-7.47,12:35:16,14,3,-0.49
close_sma_18_close_sma_32,-289.20,35.40,64.60,117.19,-52.67,12.40,-7.69,16:15:28,11,3,-0.58
close_sma_18_close_sma_35,-378.26,33.40,66.60,102.22,-54.11,13.16,-7.73,19:59:24,12,3,-0.75
close_sma_18_close_sma_36,-389.93,34.80,65.20,104.64,-53.81,12.65,-7.95,21:40:19,11,3,-0.78
close_sma_18_close_sma_40,-421.40,36.60,63.40,96.74,-49.95,11.50,-7.97,2:15:07,10,3,-0.84
close_sma_18_close_sma_45,-454.46,33.80,66.20,95.54,-49.71,11.56,-7.28,8:16:04,11,3,-0.91
close_sma_18_close_sma_48,-412.33,35.40,64.40,99.87,-50.56,12.24,-8.01,10:56:45,10,3,-0.83
close_sma_18_close_sma_50,-400.70,34.99,64.80,102.56,-51.97,12.30,-7.92,13:29:04,11,3,-0.83
close_sma_18_close_sma_56,-316.35,37.78,62.22,98.87,-58.85,12.81,-8.93,19:19:00,9,3,-0.72
close_sma_18_close_sma_64,-338.32,35.13,64.87,92.31,-64.75,14.84,-9.37,4:18:36,9,3,-0.87
close_sma_18_close_sma_70,-329.35,32.07,67.93,100.85,-60.50,16.48,-9.10,9:05:32,15,3,-0.90
close_sma_18_close_sma_72,-332.72,31.87,68.13,99.93,-65.12,16.32,-8.98,9:19:46,12,3,-0.92
close_sma_18_close_sma_80,-322.48,32.23,67.77,106.18,-68.59,18.92,-10.43,17:20:03,18,3,-0.97
close_sma_18_close_sma_90,-286.71,30.77,69.23,93.93,-40.49,20.01,-10.22,23:08:16,10,3,-0.92
close_sma_18_close_sma_96,-243.41,29.05,70.95,94.93,-44.87,22.89,-10.53,4:25:44,17,3,-0.82
close_sma_18_close_sma_100,-240.26,31.88,68.12,89.96,-65.93,20.48,-10.86,10:58:02,16,3,-0.87
close_sma_20_close_sma_24,10.23,44.80,55.00,60.72,-61.81,7.89,-6.39,21:12:36,16,2,0.02
close_sma_20_close_sma_25,-51.77,41.80,58.00,64.84,-64.71,8.69,-6.44,23:44:52,11,2,-0.10
close_sma_20_close_sma_28,-153.01,37.60,62.40,130.20,-61.35,10.99,-7.11,6:57:36,12,3,-0.30
close_sma_20_close_sma_30,-208.85,39.00,60.80,121.74,-54.29,10.23,-7.25,10:23:09,12,3,-0.42
close_sma_20_close_sma_32,-248.23,37.40,62.40,119.43,-52.04,11.31,-7.57,15:07:19,11,3,-0.49
close_sma_20_close_sma_35,-407.00,36.20,63.60,99.79,-50.53,11.64,-7.91,19:16:19,13,3,-0.82
close_sma_20_close_sma_36,-454.85,35.20,64.60,98.08,-50.05,11.24,-7.53,21:14:45,14,3,-0.91
close_sma_20_close_sma_40,-447.80,35.80,64.20,97.01,-50.08,10.80,-7.42,3:24:50,13,3,-0.90
close_sma_20_close_sma_45,-464.50,36.00,64.00,96.12,-51.08,11.64,-8.00,9:00:00,13,3,-0.93
close_sma_20_close_sma_48,-411.65,37.20,62.60,103.93,-54.51,11.97,-8.43,10:47:02,8,3,-0.82
close_sma_20_close_sma_50,-463.69,34.85,65.15,103.44,-48.65,11.79,-7.78,13:18:10,11,3,-0.96
close_sma_20_close_sma_56,-314.90,38.11,61.89,99.11,-53.88,12.45,-8.84,20:18:34,18,3,-0.73
close_sma_20_close_sma_64,-347.54,35.12,64.88,104.75,-52.58,15.07,-9.59,7:53:43,9,3,-0.93
close_sma_20_close_sma_70,-322.68,32.11,67.89,110.59,-56.69,16.94,-9.35,11:53:04,15,3,-0.91
close_sma_20_close_sma_72,-342.07,31.82,68.18,111.23,-62.55,16.67,-9.20,12:34:15,15,3,-0.97
close_sma_20_close_sma_80,-278.31,32.51,67.49,105.80,-71.43,19.54,-10.69,20:37:31,9,3,-0.86
close_sma_20_close_sma_90,-228.68,30.39,69.61,98.29,-59.95,21.87,-10.62,0:42:32,10,3,-0.75
close_sma_20_close_sma_96,-204.81,30.14,69.86,93.52,-47.76,21.99,-10.53,9:12:45,15,3,-0.73
close_sma_20_close_sma_100,-221.83,33.09,66.91,87.47,-52.85,19.39,-10.82,14:24:18,9,3,-0.82
close_sma_24_close_sma_25,-198.30,42.40,57.40,27.37,-43.19,3.49,-3.27,8:11:02,12,2,-0.40
close_sma_24_close_sma_28,-164.78,39.80,60.00,110.65,-48.65,7.42,-5.47,21:53:52,15,3,-0.33
close_sma_24_close_sma_30,-227.95,40.00,60.00,114.35,-49.93,8.83,-6.65,4:41:24,12,3,-0.46
close_sma_24_close_sma_32,-368.48,39.20,60.80,110.29,-47.32,8.78,-6.87,9:50:24,15,3,-0.74
close_sma_24_close_sma_35,-440.99,38.00,61.80,107.88,-49.55,10.34,-7.78,16:51:00,12,3,-0.88
close_sma_24_close_sma_36,-421.39,37.00,63.00,109.89,-50.37,10.56,-7.54,17:32:24,14,3,-0.84
close_sma_24_close_sma_40,-480.42,37.40,62.60,99.81,-44.72,10.53,-7.83,23:16:48,12,3,-0.96
close_sma_24_close_sma_45,-498.50,36.00,64.00,95.44,-48.27,10.58,-7.51,7:50:45,10,3,-1.00
close_sma_24_close_sma_48,-421.04,37.73,62.27,102.65,-47.72,10.88,-7.96,11:13:37,9,3,-0.85
close_sma_24_close_sma_50,-360.33,38.90,61.10,109.97,-51.81,11.19,-8.37,14:13:49,13,3,-0.76
close_sma_24_close_sma_56,-392.50,36.38,63.62,139.86,-56.49,13.53,-9.19,21:31:16,9,3,-0.92
close_sma_24_close_sma_64,-321.73,35.00,64.72,138.02,-52.41,16.90,-10.52,10:47:50,10,3,-0.89
close_sma_24_close_sma_70,-311.97,32.84,67.16,135.58,-56.47,17.53,-9.94,15:00:10,15,3,-0.92
close_sma_24_close_sma_72,-280.54,34.51,65.49,141.37,-58.30,17.27,-10.37,15:10:58,11,3,-0.83
close_sma_24_close_sma_80,-262.28,34.38,65.62,120.17,-62.59,19.23,-11.34,21:25:44,16,3,-0.83
close_sma_24_close_sma_90,-303.48,34.04,65.96,93.89,-44.37,18.88,-11.36,7:55:22,10,3,-1.07
close_sma_24_close_sma_96,-264.21,32.84,67.16,94.27,-42.33,20.12,-11.30,13:45:00,9,3,-0.98
close_sma_24_close_sma_100,-263.84,33.21,66.79,89.44,-36.22,19.64,-11.26,15:45:16,8,3,-1.00
close_sma_25_close_sma_28,-216.39,41.80,57.40,100.70,-46.28,6.20,-5.27,19:54:00,14,3,-0.43
close_sma_25_close_sma_30,-148.61,44.80,55.20,112.22,-48.35,7.22,-6.39,2:00:43,13,2,-0.29
close_sma_25_close_sma_32,-367.43,38.80,61.20,102.58,-44.20,8.14,-6.36,7:52:04,15,3,-0.73
close_sma_25_close_sma_35,-404.83,36.60,63.40,107.34,-48.66,10.10,-7.11,15:32:31,12,3,-0.81
close_sma_25_close_sma_36,-446.11,37.20,62.80,106.59,-49.57,10.15,-7.43,16:49:26,12,3,-0.89
close_sma_25_close_sma_40,-478.71,38.40,61.60,100.08,-45.32,10.15,-7.88,23:17:52,12,3,-0.96
close_sma_25_close_sma_45,-484.67,36.60,63.20,100.03,-48.91,10.54,-7.64,6:01:12,9,3,-0.97
close_sma_25_close_sma_48,-475.33,36.20,63.80,100.35,-49.06,10.59,-7.50,10:28:19,12,3,-0.95
close_sma_25_close_sma_50,-472.83,38.45,61.55,115.76,-52.64,10.30,-8.00,12:01:57,11,3,-0.96
close_sma_25_close_sma_56,-388.14,37.06,62.94,142.34,-54.66,13.32,-9.28,21:00:08,10,3,-0.90
close_sma_25_close_sma_64,-317.00,34.53,65.47,138.64,-51.49,16.52,-10.05,10:12:35,9,3,-0.88
close_sma_25_close_sma_70,-241.21,33.63,66.37,141.88,-55.34,18.22,-10.30,15:32:02,13,3,-0.71
close_sma_25_close_sma_72,-276.28,35.22,64.78,136.63,-62.34,17.02,-10.53,16:13:25,11,3,-0.83
close_sma_25_close_sma_80,-257.94,34.41,65.59,134.97,-63.18,19.49,-11.49,23:13:53,16,3,-0.83
close_sma_25_close_sma_90,-315.32,33.79,66.21,95.30,-44.73,18.47,-11.07,6:04:33,11,3,-1.09
close_sma_25_close_sma_96,-269.24,33.33,66.67,92.56,-46.76,19.89,-11.46,14:11:14,10,3,-1.01
close_sma_25_close_sma_100,-249.84,34.08,65.92,91.43,-36.59,19.45,-11.48,14:42:28,9,3,-0.94
close_sma_28_close_sma_30,-227.20,42.40,57.20,75.77,-41.39,5.69,-5.01,15:06:07,10,2,-0.45
close_sma_28_close_sma_32,-263.57,40.40,59.60,103.97,-40.16,6.97,-5.61,23:21:00,10,2,-0.53
close_sma_28_close_sma_35,-382.90,40.40,59.40,108.43,-43.83,8.03,-6.75,9:23:16,15,3,-0.77
close_sma_28_close_sma_36,-327.98,39.40,60.40,108.79,-44.57,8.86,-6.87,12:21:00,15,3,-0.66
close_sma_28_close_sma_40,-497.33,36.40,63.60,103.74,-48.35,10.24,-7.42,20:54:21,13,3,-0.99
close_sma_28_close_sma_45,-503.47,36.60,62.80,102.07,-48.04,10.67,-7.82,4:27:21,10,3,-1.01
close_sma_28_close_sma_48,-502.76,38.00,61.80,105.52,-53.85,10.47,-8.07,10:00:21,10,3,-1.01
close_sma_28_close_sma_50,-525.16,34.99,64.60,136.99,-54.43,11.58,-7.95,12:31:40,12,3,-1.08
close_sma_28_close_sma_56,-465.55,35.90,63.86,126.93,-69.30,12.79,-8.95,23:11:33,10,3,-1.12
close_sma_28_close_sma_64,-332.22,34.08,65.92,132.35,-74.10,16.60,-9.99,10:50:06,14,3,-0.93
close_sma_28_close_sma_70,-393.46,34.82,65.18,134.34,-78.38,16.34,-10.52,16:03:55,13,3,-1.17
close_sma_28_close_sma_72,-344.20,35.29,64.71,129.78,-55.92,17.29,-11.08,19:16:54,9,3,-1.07
close_sma_28_close_sma_80,-236.88,35.92,64.08,123.75,-57.13,18.48,-11.56,23:26:59,10,3,-0.77
close_sma_28_close_sma_90,-240.24,35.02,64.98,101.00,-45.13,20.25,-12.24,10:17:45,9,3,-0.86
close_sma_28_close_sma_96,-251.46,34.87,65.13,93.79,-42.34,20.01,-12.19,17:09:53,9,3,-0.96
close_sma_28_close_sma_100,-192.95,34.82,65.18,96.98,-44.94,21.08,-12.46,23:56:50,8,3,-0.78
close_sma_30_close_sma_32,-264.72,41.80,58.00,78.41,-35.65,5.60,-4.95,15:41:52,9,2,-0.53
close_sma_30_close_sma_35,-308.67,42.60,57.00,106.91,-44.32,7.02,-6.33,2:54:28,9,2,-0.62
close_sma_30_close_sma_36,-358.79,41.20,58.60,105.98,-40.50,7.41,-6.44,7:17:24,11,2,-0.72
close_sma_30_close_sma_40,-486.54,37.00,63.00,105.74,-43.53,9.61,-7.19,17:31:19,9,3,-0.97
close_sma_30_close_sma_45,-501.85,37.20,62.80,105.23,-51.59,10.48,-7.81,3:10:40,12,3,-1.01
close_sma_30_close_sma_48,-546.53,35.00,65.00,134.94,-50.14,10.64,-7.41,8:57:43,12,3,-1.09
close_sma_30_close_sma_50,-540.70,35.37,64.43,136.89,-45.38,10.65,-7.55,11:00:43,12,3,-1.10
close_sma_30_close_sma_56,-465.87,36.32,63.68,123.72,-68.02,12.82,-9.08,23:10:45,10,3,-1.13
close_sma_30_close_sma_64,-311.55,35.64,63.81,132.70,-60.48,15.98,-10.27,9:58:30,8,3,-0.86
close_sma_30_close_sma_70,-310.55,35.93,64.07,128.75,-66.54,16.64,-10.78,16:03:24,9,3,-0.93
close_sma_30_close_sma_72,-321.52,36.25,63.75,124.02,-74.08,17.11,-11.31,20:04:30,11,3,-1.01
close_sma_30_close_sma_80,-225.08,34.77,65.23,112.49,-45.66,18.95,-11.24,0:53:02,13,3,-0.74
close_sma_30_close_sma_90,-223.43,34.89,65.11,113.83,-47.96,21.15,-12.57,9:34:57,8,3,-0.81
close_sma_30_close_sma_96,-221.20,34.39,65.61,104.52,-48.48,21.93,-12.83,20:39:22,8,3,-0.88
close_sma_30_close_sma_100,-152.30,33.61,66.39,105.35,-45.22,23.71,-12.97,3:46:38,9,3,-0.64
close_sma_32_close_sma_35,-286.96,43.40,56.40,96.59,-46.30,5.83,-5.50,20:55:55,8,2,-0.57
close_sma_32_close_sma_36,-248.33,41.20,58.60,110.75,-43.76,6.65,-5.53,0:52:40,10,3,-0.50
close_sma_32_close_sma_40,-458.60,37.20,62.60,110.37,-43.92,9.05,-6.85,13:32:45,9,3,-0.92
close_sma_32_close_sma_45,-497.35,36.40,63.60,107.00,-48.14,10.16,-7.38,2:14:52,9,3,-1.00
close_sma_32_close_sma_48,-454.13,35.80,64.20,133.54,-44.27,11.24,-7.68,6:47:24,10,3,-0.91
close_sma_32_close_sma_50,-505.91,35.47,64.33,132.02,-41.43,10.53,-7.38,9:53:01,9,3,-1.01
close_sma_32_close_sma_56,-416.59,34.98,64.79,129.63,-59.29,13.27,-8.67,20:43:05,10,3,-0.98
close_sma_32_close_sma_64,-267.61,37.01,62.43,138.07,-74.35,16.50,-10.99,11:13:13,9,3,-0.75
close_sma_32_close_sma_70,-247.95,37.91,61.79,130.89,-68.57,16.24,-11.16,15:56:46,10,3,-0.74
close_sma_32_close_sma_72,-208.19,36.88,63.12,121.78,-61.24,17.77,-11.41,20:16:41,9,3,-0.65
close_sma_32_close_sma_80,-159.46,35.84,63.82,122.45,-56.37,20.37,-12.29,4:02:02,9,3,-0.54
close_sma_32_close_sma_90,-164.53,35.23,64.77,113.43,-56.49,22.14,-13.00,15:42:57,8,3,-0.62
close_sma_32_close_sma_96,-154.91,34.14,65.86,109.82,-49.31,23.27,-13.00,22:43:51,9,3,-0.62
close_sma_32_close_sma_100,-182.46,32.07,67.93,95.65,-50.05,23.99,-12.46,4:29:52,7,3,-0.77
close_sma_35_close_sma_36,-237.76,39.80,59.80,32.54,-24.18,2.88,-2.71,7:18:14,12,2,-0.47
close_sma_35_close_sma_40,-399.71,39.80,60.20,104.49,-40.95,7.11,-6.03,4:14:38,13,3,-0.80
close_sma_35_close_sma_45,-534.14,38.20,61.80,95.17,-57.94,8.69,-7.10,20:25:19,9,2,-1.07
close_sma_35_close_sma_48,-443.30,39.20,60.80,127.18,-65.20,9.28,-7.44,2:12:28,10,2,-0.89
close_sma_35_close_sma_50,-468.68,36.20,63.80,132.71,-63.62,10.42,-7.38,6:46:12,10,3,-0.94
close_sma_35_close_sma_56,-364.83,37.47,62.30,128.23,-62.84,12.50,-8.84,17:37:22,12,3,-0.82
close_sma_35_close_sma_64,-229.30,39.66,60.34,137.72,-68.15,15.68,-11.37,10:34:11,9,3,-0.64
close_sma_35_close_sma_70,-112.85,40.06,59.94,129.58,-59.53,17.18,-12.06,19:03:07,10,3,-0.35
close_sma_35_close_sma_72,-77.35,38.75,61.25,127.50,-55.98,18.22,-11.92,21:19:41,10,3,-0.24
close_sma_35_close_sma_80,24.40,37.72,62.28,139.43,-58.77,22.23,-13.33,9:03:24,9,3,0.08
close_sma_35_close_sma_90,-74.25,34.70,65.30,118.49,-62.67,23.49,-12.91,13:56:51,7,3,-0.28
close_sma_35_close_sma_96,-178.37,35.29,64.71,98.34,-59.58,21.38,-12.74,20:00:56,7,3,-0.70
close_sma_35_close_sma_100,-125.31,33.91,66.09,98.69,-52.71,24.07,-13.16,7:04:38,8,3,-0.54
close_sma_36_close_sma_40,-338.93,41.00,58.40,92.86,-58.44,5.91,-5.31,0:33:28,12,3,-0.68
close_sma_36_close_sma_45,-528.57,38.40,61.40,90.73,-56.96,8.59,-7.09,18:35:31,11,3,-1.05
close_sma_36_close_sma_48,-471.91,39.80,60.20,126.97,-65.27,8.95,-7.49,23:49:04,12,2,-0.95
close_sma_36_close_sma_50,-409.57,38.20,61.60,133.74,-64.31,10.26,-7.69,5:07:26,10,2,-0.82
close_sma_36_close_sma_56,-266.08,41.02,58.98,127.70,-68.79,12.15,-9.45,16:10:06,12,3,-0.59
close_sma_36_close_sma_64,-176.03,39.06,60.94,145.35,-64.67,17.10,-11.76,9:45:32,10,3,-0.49
close_sma_36_close_sma_70,-97.27,38.96,61.04,136.71,-51.23,18.08,-12.03,19:34:25,10,3,-0.30
close_sma_36_close_sma_72,-92.72,38.51,61.49,130.14,-54.26,18.32,-11.94,20:49:11,11,3,-0.29
close_sma_36_close_sma_80,2.75,37.87,62.13,139.35,-54.97,21.69,-13.20,13:09:29,9,3,0.01
close_sma_36_close_sma_90,0.77,36.92,63.08,116.52,-64.58,23.24,-13.60,17:19:09,9,3,0.00
close_sma_36_close_sma_96,-96.11,36.25,63.75,105.59,-59.44,22.19,-13.22,21:49:28,8,3,-0.38
close_sma_36_close_sma_100,-12.78,37.55,62.45,108.53,-54.57,23.18,-14.03,4:53:09,7,3,-0.06
close_sma_40_close_sma_45,-230.74,44.20,55.80,97.88,-64.55,7.46,-6.73,5:20:45,14,2,-0.46
